ARO_accession,ARO_name,ARO_description,"AMR Gene Family","Drug Class","Antibiotic class","Resistance Mechanism",Total_reads,Gene_Count
ARO:3000166,tet(B),"Tet(B) is a tetracycline efflux protein expressed in many Gram-negative bacteria. It confers resistance to tetracycline, doxycycline, and minocycline, but not tigecycline.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",22,3
ARO:3000167,tet(C),"Tet(C) is a tetracycline efflux pump found in many species of Gram-negative bacteria. It is typically found in plasmid DNA.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",370,16
ARO:3000173,tet(E),"TetE is a tetracycline efflux pump found in many Gram-negative bacteria, especially those in water environments. The gene is found on large plasmids.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",24,5
ARO:3000174,tet(G),"TetG is a tetracycline efflux protein found in Gram-negative bacteria. The encoding gene is found in both chromosomal and plasmid DNA where it is frequently linked to the floR, sul1, and cmlA9 genes which encode proteins that can confer florfenicol/chloramphenicol, sulfamethoxazole, and chloramphenicol resistance, respectively.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",108,4
ARO:3000175,tet(H),"TetH is a tetracycline efflux protein expressed in Gram-negative bacteria (Actinobacillus, Acinetobacter, Gallibacterium, Histophilus, Mannheimia, Moraxella, Pasteurella, and Psychrobacter). Its gene is linked to the resistance genes sul2, and strAB, which confer resistance to sulfamethoxazole and streptomycin, respectively.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",518,4
ARO:3000178,tet(K),"TetK is a tetracycline efflux protein found in both Gram-negative (Haemophilus and Gallibacterium) and Gram-positive (many species, including mycobacteria) bacteria.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",848,4
ARO:3000179,tet(L),"TetL is a tetracycline efflux protein found in many species of Gram-negative and Gram-positive bacteria.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",1194,17
ARO:3000180,tetA(P),"TetA(P) is a inner membrane tetracycline efflux protein found on the same operon as the ribosomal protection protein TetB(P). It is found in Clostridium, a Gram-positive bacterium.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",2990,34
ARO:3000181,tet(V),"TetV is a tetracycline efflux protein that has been found in Mycolicibacterium smegmatis and Mycolicibacterium fortuitum.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",2686,56
ARO:3000182,tet(Y),"TetY is a tetracycline efflux pump found in Gram-negative bacteria (Aeromonas and Escherichia). It is associated with plasmid DNA.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",356,5
ARO:3000183,tet(Z),"TetZ is a tetracycline efflux protein found in Gram-positive bacteria (Corynebacterium and Lactobacillus). It is associated with plasmid DNA.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",1406,20
ARO:3000186,tetM,"TetM is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic",Tetracycline,"antibiotic target protection",344420,1308
ARO:3000190,tetO,"TetO is a ribosomal protection protein. It is associated with conjugative plasmids.","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic",Tetracycline,"antibiotic target protection",148166,555
ARO:3000191,tetQ,"TetQ is a ribosomal protection protein. Its gene is associated with a conjugative transposon and has been found in both Gram-positive and Gram-negative bacteria.","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic",Tetracycline,"antibiotic target protection",516634,1575
ARO:3000192,tetS,"Tet(S) is a ribosomal protection protein found in Gram-positive and Gram-negative strains. It is similar to tet(M) and tet(O).","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic",Tetracycline,"antibiotic target protection",318338,966
ARO:3000193,tetT,"Tet(T) is a ribosomal protection protein of streptococci. It is similar to Tet(Q).","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic",Tetracycline,"antibiotic target protection",1443936,5069
ARO:3000194,tetW,"TetW is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic",Tetracycline,"antibiotic target protection",1042420,1357
ARO:3000195,tetB(P),"TetB(P) is a tetracycline ribosomal protection protein found on the same operon as tetA(P), a tetracycline efflux protein.","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic",Tetracycline,"antibiotic target protection",1644782,7316
ARO:3000196,tet32,"Tet32 is a tetracycline resistance gene similar to Tet(O), and binds to the ribosome to confer tetracycline resistance as a ribosomal protection protein.","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic",Tetracycline,"antibiotic target protection",157852,768
ARO:3000197,tet36,"Tet36 is a tetracycline resistance gene found in Bacteroides similar to Tet(Q), and binds to the ribosome to confer antibiotic resistance as a ribosomal protection protein.","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic",Tetracycline,"antibiotic target protection",423982,2091
ARO:3000198,FosX,"FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor, manganese (II), and uses water to generate a vicinal diol.","fosfomycin thiol transferase",fosfomycin,Fosfomycin,"antibiotic inactivation",12,3
ARO:3000205,tetX,"TetX is a flavin-dependent monooxygenase conferring resistance to tetracycline antibiotics. TetX hydroxylates position 11a of the tetraketide group thus inactivating the antibiotic.","tetracycline inactivation enzyme","glycylcycline;tetracycline antibiotic",Tetracycline,"antibiotic inactivation",5302,54
ARO:3000206,emrK,"emrK is a membrane fusion protein that is a homolog of EmrA. Together with the inner membrane transporter EmrY and the outer membrane channel TolC, it mediates multidrug efflux.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Multidrug,"antibiotic efflux",5908,71
ARO:3000215,mecR1,"mecR1 is a transmembrane spanning and signal transducing protein which in response to interaction with beta-lactam antibiotics results in upregulation of the mecA/mecR1/mecI operon.","methicillin resistant PBP2",carbapenem;cephalosporin;cephamycin;monobactam;penam,Beta-lactam,"antibiotic target replacement",12910,137
ARO:3000216,acrB,"Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.","resistance-nodulation-cell division (RND) antibiotic efflux pump","cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan",Multidrug,"antibiotic efflux",39672,361
ARO:3000217,blaR1,"blaR1 is a transmembrane spanning and signal transducing protein which in response to interaction with beta-lactam antibiotics results in upregulation of the blaZ/blaR1/blaI operon.","blaZ beta-lactamase",penam,Beta-lactam,"antibiotic inactivation",18816,136
ARO:3000230,ANT(2'')-Ia,"Plasmid or integron-encoded nucleotidylylation of 2-deoxystreptamine aminoglycosides at the hydroxyl group at position 2'' in P. aeruginosa, K. pneumoniae, Morganella morganii, E. coli, S. typhimurium, C. freundii and A. baumannii",ANT(2''),"aminoglycoside antibiotic",Aminoglycoside,"antibiotic inactivation",38,2
ARO:3000237,TolC,"TolC is a protein subunit of many multidrug efflux complexes in Gram negative bacteria. It is an outer membrane efflux protein and is constitutively open. Regulation of efflux activity is often at its periplasmic entrance by other components of the efflux complex.","ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump","aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;macrolide antibiotic;penam;penem;peptide antibiotic;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan",Multidrug,"antibiotic efflux",9188,91
ARO:3000245,RbpA,"RNA-polymerase binding protein which confers resistance to rifampin.","RbpA bacterial RNA polymerase-binding protein","rifamycin antibiotic",Rifamycin,"antibiotic target protection",3780,115
ARO:3000250,ErmC,"ErmC is a methyltransferase that catalyzes the methylation of A2058 of the 23S ribosomal RNA in two steps. Expression of ErmC is inducible by erythromycin. The leader peptide causes attenuation of the mRNA and stabilizes the structure preventing further translation. When erythromycin is present, it binds the leader peptide causing a change in conformation allowing for the expression of ErmC.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",6166,47
ARO:3000251,msrA,"MsrA is an ABC-F subfamily ribosomal protection protein expressed in Staphylococcus species which confers resistance to erythromycin and streptogramin B antibiotics through antibiotic target protection mechanisms. It is associated with plasmid DNA.","ABC-F ATP-binding cassette ribosomal protection protein","lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic",Multidrug,"antibiotic target protection",23756,214
ARO:3000254,emrY,"emrY is a multidrug transport that moves substrates across the inner membrane of the Gram-negative E. coli. It is a homolog of emrB.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Multidrug,"antibiotic efflux",10412,181
ARO:3000263,marA,"In the presence of antibiotic stress, E. coli overexpresses the global activator protein MarA, which besides inducing MDR efflux pump AcrAB, also down- regulates synthesis of the porin OmpF.","General Bacterial Porin with reduced permeability to beta-lactams;resistance-nodulation-cell division (RND) antibiotic efflux pump","carbapenem;cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;monobactam;penam;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan",Multidrug,"antibiotic efflux;reduced permeability to antibiotic",138918,756
ARO:3000300,lsaA,"LsaA is an ABC-F subfamily protein expressed in Enterococcus faecalis. It confers resistance to clindamycin, quinupristin-dalfopristin, and dalfopristin.","ABC-F ATP-binding cassette ribosomal protection protein","lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic",Multidrug,"antibiotic target protection",35218,326
ARO:3000316,mphA,"The mphA gene encodes for resistance enzyme MPH(2')-I which preferentially inactivate 14-membered macrolides (e.g.erythromycin, telithromycin, roxithromycin) over 16-membered macrolides (e.g.tylosin, spiramycin). It phosphorylates macrolides at 2'-OH hydroxyl of desosamine sugar of macrolides in a GTP-dependent manner.","macrolide phosphotransferase (MPH)","macrolide antibiotic",MLS,"antibiotic inactivation",58,7
ARO:3000318,mphB,"The mphB gene encodes for MPH(2')-II. This enzymes phosphorylates 14-membered and 16-membered macrolides.  It phosphorylates macrolides in GTP- dependent manner at 2'-OH hydroxyl of desosamine sugar of macrolides.","macrolide phosphotransferase (MPH)","macrolide antibiotic",MLS,"antibiotic inactivation",204,6
ARO:3000319,mphC,"The mphC gene was identified from Staphylococcus aureus.  This gene shows similarity to mphB gene from Escherchia coli.","macrolide phosphotransferase (MPH)","macrolide antibiotic",MLS,"antibiotic inactivation",252,9
ARO:3000326,ErmE,"ErmE is a methyltransferase found in the erythromycin producer Saccharopolyspora erythraea. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. The gene is found within the erythromycin biosynthetic cluster and is responsible for self-resistance.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",72788,511
ARO:3000343,tap,"Efflux pump proteins contained within Mycobacterial genomes which confer resistance to a number of different antibiotics including aminoglycosides, and tetracyclines.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Multidrug,"antibiotic efflux",458,36
ARO:3000347,ErmA,"ErmA confers the MLSb phenotype. Similar to ErmC, Expression of ErmA is inducible by erythromycin. The leader peptide causes attenuation of the mRNA and stabilizes the structure preventing further translation. When erythromycin is present, it binds the leader peptide causing a change in conformation allowing for the expression of ErmA.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",4164,36
ARO:3000361,EreA,"EreA is an erythromycin esterase that hydrolyses the drug's lactone ring.","macrolide esterase","macrolide antibiotic",MLS,"antibiotic inactivation",12,1
ARO:3000363,EreB,"EreB is an erythromycin esterase-like protein that hydrolyses the drug's lactone ring.","macrolide esterase","macrolide antibiotic",MLS,"antibiotic inactivation",80,6
ARO:3000368,vanC,"VanC is a D-Ala-D-Ala ligase homolog that synthesizes D-Ala-D-Ser, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It is specific to Enterococcus gallinarum and E. casseliflavus, providing intrinsic resistance.","glycopeptide resistance gene cluster;van ligase","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",46292,318
ARO:3000375,ErmB,"ErmB confers the MLSb phenotype. Similar to ErmC, expression of ErmB is inducible by erythromycin. The leader peptide causes attenuation of the mRNA and stabilizes the structure preventing further translation. When erythromycin is present, it binds the leader peptide causing a change in conformation allowing for the expression of ErmB.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",4674,62
ARO:3000377,MexA,"MexA is the membrane fusion protein of the MexAB-OprM multidrug efflux complex.","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",16840,189
ARO:3000378,MexB,"MexB is the inner membrane multidrug exporter of the efflux complex MexAB-OprM.","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",81542,515
ARO:3000379,OprM,"OprM is an outer membrane factor protein found in Pseudomonas aeruginosa and Burkholderia vietnamiensis. It is part of the MexAB-OprM, MexVW-OprM, MexXY-OprM and the AmrAB-OprM complex.","resistance-nodulation-cell division (RND) antibiotic efflux pump","acridine dye;aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",140544,571
ARO:3000391,norA,"NorA is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like acriflavine. It shares 30% similarity with NorA, and is a structural homolog of Bmr of Bacillus subtilis. It is regulated by arlRS and mgrA, the latter also known as NorR.","major facilitator superfamily (MFS) antibiotic efflux pump","acridine dye;fluoroquinolone antibiotic",Multidrug,"antibiotic efflux",2746,35
ARO:3000392,Erm(37),"Erm(37) is found in Mycobacterium species and confers the MLSb phenotype. In addition to methylation of A2058 this Erm methylates adjacent adenosines (A2057 and A2059) as well.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",5260,37
ARO:3000410,sul1,"Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.","sulfonamide resistant sul","sulfonamide antibiotic;sulfone antibiotic",Sulfonamide,"antibiotic target replacement",10116,71
ARO:3000412,sul2,"Sul2 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria, usually found on small plasmids.","sulfonamide resistant sul","sulfonamide antibiotic;sulfone antibiotic",Sulfonamide,"antibiotic target replacement",14766,216
ARO:3000413,sul3,"Sul3 is a sulfonamide resistant dihydropteroate synthase similar to Sul1 and Sul2. Its resistance gene was found encoded in E. coli plasmid DNA of sulfonamide resistant isolates.","sulfonamide resistant sul","sulfonamide antibiotic;sulfone antibiotic",Sulfonamide,"antibiotic target replacement",72892,429
ARO:3000421,norB,"NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB, and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA, also known as NorR.","major facilitator superfamily (MFS) antibiotic efflux pump","fluoroquinolone antibiotic",Multidrug,"antibiotic efflux",12056,237
ARO:3000444,rphA,"The enzymatic inactivation of rifampin by phosphorylation at the 21-OH position.","rifampin phosphotransferase","rifamycin antibiotic",Rifamycin,"antibiotic inactivation",78486,509
ARO:3000448,QepA1,"QepA1 is a plasmid-mediated efflux pump in E. coli, shown to contribute to fluoroquinolone resistance. It is regulated by sox genes, also known as global stress regulators.","major facilitator superfamily (MFS) antibiotic efflux pump","fluoroquinolone antibiotic",Fluoroquinolone,"antibiotic efflux",2872,37
ARO:3000449,FomB,"An enzyme which on its own cannot provide fosfomycin resistance, however in conjunction with FomA, it leads to the formation of fosfomycin with three phosphates total, which makes it inactive.","Fom phosphotransferase family",fosfomycin,Fosfomycin,"antibiotic inactivation",206,1
ARO:3000462,mgtA,"A macrolide glycosyltransferase encoded by the mgtA gene in Streptomyces lividans. This enzyme inactivates macrolides using UDP-glucose as a cofactor. Its optimal substrates are lankamycin, calcomycin, rosaramicin, methymycin, and pikromycin, while interactions with erythomycin, oldeandomycin, azithromycin, and tylosin were weaker. It is inactive against spiramycin and carbomycin. Mechanism first described by Cundliffe, 1992.","mgt macrolide glycotransferase","macrolide antibiotic",MLS,"antibiotic inactivation",5162,55
ARO:3000463,gimA,"A macrolide glycosyltransferase encoded by the gimA gene in Streptomyces ambofaciens, a natural producer of the macrolide antibiotic spiramycin. Chalcomycin, methymycin, tylosin, pikromycin, rosaramicin, oleandomycin, josamycin, and carbomycin are preferred substrates of gimA glycosyltransferase, while erythromycin and spiramycin have notably low binding affinities. GimA may be able to inactivate spiramycin precursors. Described by Gourmelen et al. 1998.","gimA family macrolide glycosyltransferase","macrolide antibiotic",MLS,"antibiotic inactivation",44186,279
ARO:3000476,tet(31),"Tet31 is a tetracycline efflux pump found in Aeromonas salmonicida, a Gram-negative bacteria. It has also been shown to be expressed in Gallibacterium anatis.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",80,7
ARO:3000478,tet(33),"Tet33 is a tetracycline efflux pump found in Gram-positive bacteria, including Arthrobacter and Corynebacterium.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",812,20
ARO:3000481,tet(35),"Tet35 is a tetracycline efflux pump found in the Gram-negative Vibrio and Stenotrophomonas. It is unrelated to other tet resistance genes.","ATP-binding cassette (ABC) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",1056450,5460
ARO:3000491,acrD,"AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole, and is regulated by baeRS and cpxAR.","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminoglycoside antibiotic",Aminoglycoside,"antibiotic efflux",47144,338
ARO:3000495,ErmD,"ErmD confers MLSb phenotype.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",166642,469
ARO:3000498,ErmF,"ErmF confers the MLSb phenotype.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",13142,72
ARO:3000499,AcrE,"AcrE is a membrane fusion protein, similar to AcrA.","resistance-nodulation-cell division (RND) antibiotic efflux pump","cephalosporin;cephamycin;fluoroquinolone antibiotic;penam",Multidrug,"antibiotic efflux",9832,88
ARO:3000501,rpoB2,"Due to gene duplication, the genomes of Nocardia species include both rifampin-sensitive beta-subunit of RNA polymerase (rpoB) and rifampin-resistant beta-subunit of RNA polymerase (rpoB2) genes, with ~88% similarity between the two gene products. Expression of the rpoB2 variant results in replacement of rifampin sensitivity with rifampin resistance.","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","peptide antibiotic;rifamycin antibiotic",Multidrug,"antibiotic target alteration;antibiotic target replacement",5226888,27761
ARO:3000502,AcrF,"AcrF is a inner membrane transporter, similar to AcrB.","resistance-nodulation-cell division (RND) antibiotic efflux pump","cephalosporin;cephamycin;fluoroquinolone antibiotic;penam",Multidrug,"antibiotic efflux",25856,266
ARO:3000504,golS,"GolS is a regulator activated by the presence of golD, and promotes the expression of the MdsABC efflux pump.","resistance-nodulation-cell division (RND) antibiotic efflux pump","carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic",Multidrug,"antibiotic efflux",176132,738
ARO:3000508,gadX,"GadX is an AraC-family regulator that promotes mdtEF expression to confer multidrug resistance.","resistance-nodulation-cell division (RND) antibiotic efflux pump","fluoroquinolone antibiotic;macrolide antibiotic;penam",Multidrug,"antibiotic efflux",36398,243
ARO:3000510,"Staphylococcus mupB conferring resistance to mupirocin","An alternative isoleucyl-tRNA synthetase conferring resistance to mupirocin.","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)",mupirocin,Mupirocin,"antibiotic target alteration",2530068,13818
ARO:3000516,emrR,"EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.","major facilitator superfamily (MFS) antibiotic efflux pump","fluoroquinolone antibiotic",Multidrug,"antibiotic efflux",5250,72
ARO:3000518,CRP,"CRP is a global regulator that represses MdtEF multidrug efflux pump expression.","resistance-nodulation-cell division (RND) antibiotic efflux pump","fluoroquinolone antibiotic;macrolide antibiotic;penam",Multidrug,"antibiotic efflux",6440,92
ARO:3000521,"Staphylococcus mupA conferring resistance to mupirocin","An alternative isoleucyl-tRNA synthetase conferring resistance to mupirocin.","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)",mupirocin,Mupirocin,"antibiotic target alteration",3356622,16463
ARO:3000522,ErmG,"ErmG is a rRNA adenine N-6-methyltransferase that protects the ribosome from inactivation due to antibiotic binding.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",1344,11
ARO:3000526,cmeR,"CmeR is a repressor for the CmeABC multidrug efflux pump, binding to the cmeABC promoter region.","resistance-nodulation-cell division (RND) antibiotic efflux pump","cephalosporin;fluoroquinolone antibiotic;fusidic acid;macrolide antibiotic",Multidrug,"antibiotic efflux",574,11
ARO:3000533,macA,"MacA is a membrane fusion protein that forms an antibiotic efflux complex with MacB and TolC. macA corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.","ATP-binding cassette (ABC) antibiotic efflux pump","macrolide antibiotic",MLS,"antibiotic efflux",70218,468
ARO:3000535,macB,"MacB is an ATP-binding cassette (ABC) transporter that exports macrolides with 14- or 15- membered lactones. It forms an antibiotic efflux complex with MacA and TolC. macB corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.","ATP-binding cassette (ABC) antibiotic efflux pump","macrolide antibiotic",MLS,"antibiotic efflux",11222702,66675
